Age,Attrition,Business_travel,Daily_rate,Distance_from_home,Education,Education_field,Employee_count,Employee_number,Environment_satisfaction,Gender,Hourly_rate,Job_involvement,Job_level,Job_role,Job_satisfaction,Marital_status,Monthly_rate,Num_companies_worked,Over_18,Over_time,Percent_salary_hike,Performance_rating,Relationship_satisfaction,Stock_option_level,Total_working_years,Training_times_last_year,Work_life_balance,Years_at_company,Years_since_last_promotion,Years_with_curr_manager,Date_birth,Remote_work,Employee_satisfaction,Group_test
41,No,Non-travel,247.0,7.0,1,Unknown,1.0,1035,2,Female,55.0,1,5,Research director,3,Unknown,20284.0,1,Yes,No,22.0,4.0,2,2,11.32,3,3.0,21,5,10,1982,No,2.33,B
56,No,Travel_rarely,1369.0,23.0,3,Life sciences,1.0,Unknown,4,Male,68.0,3,4,Manufacturing director,2,Married,18235.0,4,Unknown,Yes,12.0,3.15,1,1,33.0,0,3.0,19,15,9,1967,No,2.33,B
38,No,Unknown,201.0,10.0,3,Medical,1.0,Unknown,2,Female,99.0,1,3,Research director,3,Married,3376.0,3,Yes,No,12.0,3.0,1,1,11.32,3,3.0,18,1,11,1985,Yes,2.0,B
41,Yes,Travel_rarely,1360.0,12.0,3,Unknown,1.0,58,2,Female,49.0,3,5,Research director,3,Married,16280.0,1,Unknown,No,12.0,3.0,4,0,11.32,0,3.0,22,15,8,1982,No,3.0,A
55,No,Unknown,692.0,14.0,4,Medical,1.0,Unknown,3,Male,61.0,4,5,Research director,2,Single,13339.0,8,Unknown,No,11.0,3.0,4,0,11.32,3,3.0,24,2,15,1968,Unknown,3.0,A
40,No,Travel_rarely,1398.0,2.0,4,Unknown,1.0,558,3,Female,79.0,3,5,Manager,3,Unknown,13022.0,0,Unknown,No,14.0,3.0,4,0,11.32,2,3.0,20,1,12,1983,No,3.33,A
58,Yes,Travel_rarely,286.0,2.0,4,Unknown,1.0,825,4,Male,31.0,3,5,Research director,2,Single,25761.0,7,Yes,Yes,12.0,3.0,4,0,40.0,2,3.0,31,13,8,1965,No,3.33,A
46,No,Travel_rarely,1402.0,2.0,3,Unknown,1.0,Unknown,3,Female,69.0,3,4,Manager,1,Unknown,24097.0,8,Unknown,Unknown,23.0,4.0,1,0,28.0,2,3.0,26,15,9,1977,No,1.67,B
35,No,Unknown,819.0,13.0,5,Life sciences,1.0,Unknown,2,Male,48.0,4,2,Research scientist,1,Married,26312.0,1,Unknown,Unknown,11.0,3.0,4,0,11.32,2,3.0,16,1,10,1988,No,2.33,B
40,No,Travel_rarely,884.0,15.0,3,Life sciences,1.0,Unknown,1,Female,80.0,2,3,Manufacturing director,3,Unknown,25800.0,1,Yes,Unknown,13.0,3.0,4,2,18.0,2,2.76,18,14,12,1983,Unknown,2.67,B
45,No,Non-travel,1238.0,1.0,1,Unknown,1.0,1712,3,Male,74.0,2,3,Healthcare representative,3,Unknown,3395.0,3,Yes,Unknown,23.0,4.0,4,1,25.0,3,2.0,23,14,4,1978,No,3.33,A
33,No,Unknown,515.0,1.0,2,Life sciences,1.0,73,1,Female,98.0,3,3,Research director,4,Single,15146.0,1,Unknown,Yes,12.0,3.0,3,0,15.0,1,3.0,15,8,12,1990,Unknown,2.67,B
36,No,Unknown,1223.0,8.0,3,Unknown,1.0,Unknown,3,Female,59.0,3,3,Healthcare representative,3,Divorced,8202.0,1,Yes,Unknown,13.0,3.15,2,3,17.0,2,3.0,17,12,8,1987,Yes,2.67,B
47,No,Unknown,202.0,2.0,2,Other,1.0,820,3,Female,33.0,3,4,Manager,4,Married,12982.0,1,Unknown,Unknown,11.0,3.0,3,1,11.32,3,2.0,26,3,0,1976,No,3.33,A
36,No,Travel_rarely,928.0,42.0,2,Life sciences,1.0,Unknown,4,Male,56.0,3,2,Sales executive,4,Unknown,2823.0,1,Yes,Unknown,14.0,3.0,4,1,18.0,1,2.76,18,4,11,1987,Unknown,4.0,A
35,No,Unknown,607.0,9.0,3,Life sciences,1.0,Unknown,4,Female,66.0,2,3,Manufacturing director,3,Married,23457.0,1,Yes,Yes,20.0,4.0,2,1,17.0,2,3.0,17,5,15,1988,No,3.0,A
52,Yes,Unknown,266.0,2.0,1,Unknown,1.0,Unknown,1,Female,57.0,1,5,Manager,4,Married,25846.0,1,Yes,No,15.0,3.0,4,1,33.0,3,3.0,32,6,9,1971,Yes,3.0,A
36,No,Unknown,429.0,2.0,4,Life sciences,1.0,1294,3,Female,53.0,3,2,Manufacturing director,2,Single,2323.0,9,Yes,Yes,11.0,3.0,4,0,18.0,2,3.0,16,5,12,1987,No,3.0,A
33,No,Travel_rarely,589.0,28.0,4,Life sciences,1.0,Unknown,2,Male,79.0,3,2,Laboratory technician,3,Married,22949.0,1,Yes,Unknown,12.0,3.0,2,1,15.0,3,3.0,15,5,7,1990,Yes,2.33,B
34,No,Non-travel,802.09,10.0,3,Life sciences,1.0,1774,4,Male,87.0,3,2,Sales executive,3,Unknown,12313.0,1,Yes,Yes,14.0,3.0,3,1,15.0,3,3.0,15,0,7,1989,Yes,3.33,A
41,No,Unknown,802.09,37.0,1,Unknown,1.0,1815,3,Female,81.0,3,3,Sales executive,3,Divorced,26458.0,0,Unknown,Unknown,13.0,3.0,4,1,11.32,3,4.0,22,13,5,1982,Yes,3.33,A
47,No,Unknown,1180.0,25.0,3,Medical,1.0,1993,1,Male,84.0,3,3,Healthcare representative,3,Unknown,13084.0,2,Unknown,Unknown,23.0,4.0,2,0,25.0,3,3.0,17,12,11,1976,Yes,2.0,B
53,No,Travel_rarely,1282.0,5.0,3,Unknown,1.0,32,3,Female,58.0,3,5,Manager,3,Unknown,10735.0,4,Unknown,Unknown,11.0,3.0,4,1,26.0,3,2.0,14,4,8,1970,Yes,3.33,A
35,No,Unknown,776.0,1.0,4,Marketing,1.0,100,3,Male,32.0,2,2,Sales executive,1,Single,23016.0,0,Yes,No,14.0,3.15,2,0,16.0,2,3.0,15,2,8,1988,No,2.0,B
34,No,Travel_rarely,665.0,6.0,4,Other,1.0,Unknown,1,Female,41.0,3,2,Research scientist,3,Single,12482.0,1,Yes,Unknown,14.0,3.0,3,0,16.0,3,3.0,16,2,10,1989,Unknown,2.33,B
46,No,Travel_rarely,526.0,1.0,2,Unknown,1.0,244,2,Female,92.0,3,3,Sales executive,1,Divorced,2137.0,1,Unknown,No,25.0,4.0,3,3,24.0,2,3.0,24,15,7,1977,Yes,2.0,B
43,No,Unknown,1034.0,16.0,3,Unknown,1.0,327,4,Female,80.0,3,4,Manager,4,Married,7744.0,5,Unknown,Unknown,22.0,4.0,3,1,22.0,3,3.0,17,1,9,1980,Yes,3.67,A
36,No,Unknown,1403.0,6.0,3,Life sciences,1.0,373,4,Male,47.0,3,1,Laboratory technician,4,Married,20251.0,0,Unknown,Unknown,11.0,3.0,3,1,16.0,4,3.0,15,10,11,1987,Unknown,3.67,A
60,No,Travel_frequently,1499.0,28.0,3,Unknown,1.0,Unknown,3,Female,80.0,2,3,Sales executive,1,Married,2845.0,4,Yes,No,19.0,3.0,4,0,22.0,5,4.0,18,13,11,1963,Yes,2.67,B
40,No,Travel_frequently,580.0,5.0,4,Unknown,1.0,729,4,Male,48.0,2,3,Sales executive,1,Married,23772.0,5,Unknown,Yes,21.0,4.0,3,1,20.0,2,3.0,18,1,12,1983,No,2.67,B
32,No,Travel_rarely,859.0,4.0,3,Unknown,1.0,830,3,Female,98.0,2,2,Manufacturing director,3,Married,19124.0,1,Yes,No,12.0,3.0,3,1,14.0,3,3.0,14,6,8,1991,No,3.0,A
41,No,Travel_rarely,263.0,35.0,3,Unknown,1.0,Unknown,3,Male,59.0,3,1,Laboratory technician,1,Single,3119.0,2,Unknown,Yes,13.0,3.15,3,0,20.0,3,3.0,18,2,17,1982,Yes,2.33,B
53,No,Unknown,1376.0,2.0,2,Medical,1.0,981,3,Male,66.03,3,4,Manager,3,Divorced,13938.0,6,Unknown,No,13.0,3.0,3,1,22.0,3,4.0,17,15,2,1970,No,3.0,A
36,Yes,Travel_rarely,885.0,16.0,4,Unknown,1.0,1042,3,Female,43.0,4,1,Laboratory technician,1,Single,8269.0,1,Yes,Unknown,16.0,3.0,3,0,18.0,1,3.0,17,15,14,1987,Yes,2.33,B
46,No,Unknown,1003.0,8.0,4,Life sciences,1.0,1080,4,Female,74.0,2,2,Research scientist,1,Divorced,21029.0,8,Unknown,Yes,23.0,4.0,1,3,11.32,2,3.0,16,1,7,1977,No,2.0,B
38,No,Travel_rarely,1321.0,1.0,4,Unknown,1.0,1995,4,Male,86.0,3,2,Sales executive,2,Married,7636.0,0,Unknown,No,15.0,3.0,1,2,16.0,3,2.76,15,5,8,1985,Yes,2.33,B
51,No,Unknown,802.09,1.0,4,Unknown,1.0,145,1,Female,30.0,2,3,Healthcare representative,1,Single,25796.0,3,Unknown,Unknown,20.0,4.0,3,0,23.0,1,2.0,13,12,8,1972,Unknown,1.67,B
43,No,Unknown,394.0,26.0,2,Unknown,1.0,158,3,Male,92.0,3,4,Manager,4,Married,19494.0,1,Unknown,Yes,12.0,3.0,4,2,25.0,3,4.0,25,4,12,1980,Yes,3.67,A
37,No,Unknown,1372.0,1.0,3,Life sciences,1.0,391,4,Female,42.0,3,1,Research scientist,4,Single,15881.0,1,Unknown,No,12.0,3.0,2,0,11.32,3,3.0,17,5,7,1986,Yes,3.33,A
32,No,Travel_rarely,802.09,8.0,2,Technical degree,1.0,436,3,Female,65.0,2,2,Sales executive,2,Married,24624.0,1,Unknown,Yes,11.0,3.0,4,0,11.32,2,3.0,13,11,9,1991,Unknown,3.0,A
38,No,Unknown,1333.0,1.0,3,Unknown,1.0,Unknown,4,Female,80.0,3,3,Research director,1,Married,16292.0,1,Unknown,Unknown,13.0,3.0,2,1,15.0,3,3.0,15,5,11,1985,No,2.33,B
46,No,Unknown,228.0,3.0,3,Life sciences,1.0,1527,3,Female,51.0,3,4,Manager,2,Unknown,11380.0,8,Unknown,No,12.0,3.0,4,1,23.0,2,4.0,13,5,1,1977,Yes,3.0,A
35,Yes,Travel_rarely,737.0,10.0,3,Medical,1.0,Unknown,4,Male,55.0,2,3,Sales executive,1,Married,21530.0,9,Unknown,Unknown,17.0,3.0,3,0,15.0,3,2.76,13,6,0,1988,No,2.67,B
43,No,Unknown,823.0,6.0,3,Medical,1.0,1866,1,Female,81.0,2,5,Manager,3,Married,22539.0,7,Unknown,No,13.0,3.0,4,0,21.0,2,3.0,16,6,14,1980,Yes,2.67,B
56,No,Non-travel,667.0,1.0,4,Life sciences,1.0,2026,3,Male,57.0,3,2,Healthcare representative,3,Divorced,26236.0,1,Yes,No,21.0,3.15,1,1,11.32,2,2.0,13,1,9,1967,Yes,2.33,B
36,No,Non-travel,301.0,15.0,4,Marketing,1.0,Unknown,4,Male,88.0,1,2,Sales executive,4,Divorced,10436.0,1,Yes,No,24.0,4.0,1,1,11.32,4,2.0,15,11,11,1987,Yes,3.0,A
38,No,Unknown,573.0,6.0,3,Medical,1.0,107,2,Female,79.0,1,2,Research scientist,4,Unknown,15717.0,7,Yes,Unknown,12.0,3.0,4,3,17.0,3,3.0,13,1,9,1985,Yes,3.33,A
49,No,Unknown,802.09,26.0,4,Medical,1.0,170,3,Female,96.0,3,2,Manufacturing director,1,Unknown,5549.0,1,Unknown,No,14.0,3.0,3,0,16.0,2,2.0,15,5,11,1974,No,2.33,B
39,No,Travel_rarely,1329.0,4.0,4,Life sciences,1.0,Unknown,4,Female,47.0,2,2,Sales executive,3,Married,14590.0,4,Unknown,Unknown,14.0,3.0,3,1,17.0,1,4.0,15,5,9,1984,Yes,3.33,A
40,No,Unknown,630.0,4.0,4,Unknown,1.0,215,3,Male,67.0,2,3,Sales executive,4,Married,8552.0,7,Yes,No,11.0,3.15,1,1,15.0,2,2.0,12,2,11,1983,Yes,2.67,B
36,No,Unknown,802.09,5.0,2,Unknown,1.0,304,4,Male,62.0,3,2,Laboratory technician,2,Single,9945.0,8,Yes,No,16.0,3.0,4,0,16.0,3,4.0,13,3,7,1987,Yes,3.33,A
37,No,Unknown,1063.0,25.0,5,Unknown,1.0,529,2,Female,72.0,3,2,Research scientist,3,Married,23866.0,3,Yes,Yes,15.0,3.0,1,2,15.0,2,3.0,13,10,7,1986,No,2.0,B
35,No,Unknown,1017.0,6.0,4,Unknown,1.0,691,2,Male,82.0,1,2,Research scientist,4,Unknown,19368.0,1,Yes,Unknown,13.0,3.0,2,0,11.32,3,3.0,17,11,8,1988,Yes,2.67,B
33,No,Travel_frequently,1296.0,6.0,3,Life sciences,1.0,692,3,Male,66.03,3,2,Healthcare representative,4,Divorced,5335.0,3,Unknown,No,23.0,4.0,3,1,15.0,2,1.0,13,4,7,1990,No,3.33,A
50,No,Travel_rarely,939.0,24.0,3,Unknown,1.0,1005,4,Male,66.03,3,4,Manufacturing director,3,Married,4161.0,3,Unknown,Yes,18.0,3.0,4,1,22.0,2,3.0,12,1,5,1973,No,3.67,A
48,No,Travel_rarely,1355.0,4.0,4,Unknown,1.0,1024,3,Male,78.0,2,3,Healthcare representative,3,Single,22245.0,7,Unknown,Unknown,14.0,3.15,2,0,27.0,3,3.0,15,4,8,1975,Yes,2.67,B
44,No,Travel_rarely,1448.0,28.0,3,Unknown,1.0,1039,4,Female,53.0,4,4,Sales executive,4,Married,11737.0,3,Unknown,Unknown,18.0,3.0,3,1,11.32,2,3.0,12,11,11,1979,Yes,3.67,A
44,No,Travel_rarely,200.0,29.0,4,Unknown,1.0,1225,4,Male,32.0,3,2,Research scientist,4,Single,7744.0,1,Yes,Unknown,25.0,4.0,2,0,11.32,3,3.0,20,13,17,1979,Yes,3.33,A
40,No,Unknown,1202.0,25.0,1,Unknown,1.0,1375,2,Female,89.0,4,2,Healthcare representative,3,Unknown,13888.0,5,Unknown,No,20.0,4.0,2,3,15.0,0,3.0,12,11,8,1983,Unknown,2.33,B
34,No,Travel_rarely,404.0,2.0,4,Unknown,1.0,Unknown,3,Female,98.0,3,2,Healthcare representative,4,Single,6163.0,1,Unknown,Unknown,11.0,3.0,4,0,14.0,2,4.0,14,4,11,1989,Unknown,3.67,A
35,No,Non-travel,208.0,8.0,4,Unknown,1.0,Unknown,3,Female,52.0,3,2,Healthcare representative,3,Unknown,12250.0,1,Unknown,Unknown,12.0,3.0,4,1,11.32,5,3.0,14,2,9,1988,Unknown,3.33,A
50,No,Unknown,813.0,17.0,5,Life sciences,1.0,Unknown,4,Female,50.0,2,3,Research director,1,Unknown,21981.0,5,Unknown,No,15.0,3.0,3,3,11.32,3,3.0,14,1,11,1973,No,2.67,B
49,No,Unknown,465.0,6.0,1,Life sciences,1.0,1661,3,Female,41.0,2,4,Healthcare representative,3,Unknown,11652.0,2,Unknown,Unknown,19.0,3.0,2,1,11.32,3,3.0,15,2,12,1974,Yes,2.67,B
38,No,Travel_frequently,1189.0,1.0,3,Life sciences,1.0,1668,4,Male,90.0,3,2,Research scientist,4,Unknown,9867.0,7,Yes,No,15.0,3.0,4,2,19.0,4,2.76,13,2,9,1985,Unknown,4.0,A
33,No,Unknown,802.09,21.0,3,Unknown,1.0,1698,2,Male,79.0,4,1,Laboratory technician,2,Unknown,13637.0,1,Unknown,No,18.0,3.0,4,3,14.0,6,2.76,14,2,13,1990,Unknown,2.67,B
47,No,Travel_rarely,1001.0,4.0,3,Life sciences,1.0,Unknown,3,Female,92.0,2,3,Manufacturing director,2,Divorced,19271.0,8,Unknown,Yes,12.0,3.15,3,1,11.32,4,3.0,22,14,10,1976,Yes,2.67,B
38,No,Unknown,1394.0,8.0,3,Unknown,1.0,1937,4,Female,58.0,2,2,Research scientist,2,Divorced,18115.0,1,Unknown,Unknown,16.0,3.0,3,1,20.0,3,3.0,20,0,7,1985,No,3.0,A
37,No,Travel_rarely,161.0,10.0,3,Life sciences,1.0,2017,3,Female,42.0,4,3,Research director,4,Unknown,15471.0,1,Unknown,Yes,25.0,4.0,1,1,16.0,2,3.0,16,6,8,1986,Yes,2.67,B
30,No,Unknown,288.0,2.0,3,Unknown,1.0,117,3,Male,99.0,2,2,Healthcare representative,4,Married,15830.0,1,Unknown,No,19.0,3.15,1,3,11.0,3,3.0,11,10,8,1993,Yes,2.67,B
58,No,Travel_rarely,682.0,18.0,4,Unknown,1.0,131,4,Male,37.0,3,4,Sales executive,3,Single,24409.0,0,Unknown,Unknown,13.0,3.0,3,0,38.0,1,2.0,37,1,8,1965,Yes,3.33,A
34,No,Travel_rarely,1354.0,5.0,3,Unknown,1.0,153,3,Female,45.0,2,3,Manager,1,Single,5615.0,2,Unknown,Unknown,12.0,3.0,4,0,14.0,6,3.0,11,5,8,1989,No,2.67,B
58,Yes,Travel_rarely,147.0,23.0,4,Medical,1.0,Unknown,4,Female,94.0,3,3,Healthcare representative,4,Married,3465.0,1,Unknown,Unknown,12.0,3.0,4,1,40.0,3,2.0,40,15,6,1965,Yes,4.0,A
38,No,Unknown,119.0,3.0,3,Life sciences,1.0,307,1,Male,76.0,3,3,Sales executive,3,Divorced,9647.0,0,Yes,Unknown,12.0,3.0,3,2,11.32,6,2.0,16,5,13,1985,Yes,2.33,B
29,No,Travel_frequently,1413.0,1.0,1,Unknown,1.0,Unknown,2,Female,42.0,3,3,Sales executive,4,Married,6599.0,1,Yes,Unknown,14.0,3.0,4,1,11.0,5,3.0,11,4,1,1994,Unknown,3.33,A
55,No,Travel_rarely,452.0,1.0,3,Medical,1.0,374,4,Male,81.0,3,5,Manager,1,Single,18938.0,0,Yes,Unknown,14.0,3.0,3,0,37.0,2,3.0,36,4,13,1968,Yes,2.67,B
41,No,Unknown,334.0,10.0,4,Unknown,1.0,Unknown,4,Male,88.0,3,4,Manager,2,Unknown,15896.0,1,Unknown,Unknown,19.0,3.0,2,0,11.32,2,3.0,22,0,4,1982,Yes,2.67,B
39,No,Travel_rarely,1132.0,1.0,3,Unknown,1.0,Unknown,3,Male,48.0,4,3,Healthcare representative,4,Unknown,10942.0,0,Unknown,No,17.0,3.15,1,3,19.0,5,2.0,18,3,7,1984,No,2.67,B
38,No,Unknown,802.09,15.0,2,Life sciences,1.0,Unknown,3,Male,92.0,2,3,Research director,4,Unknown,15682.0,0,Unknown,Unknown,14.0,3.0,2,1,11.32,3,3.0,11,2,9,1985,Yes,3.0,A
43,No,Unknown,982.0,12.0,3,Unknown,1.0,Unknown,1,Male,59.0,2,4,Research director,2,Unknown,4345.0,1,Unknown,No,11.0,3.0,3,1,11.32,3,2.76,25,3,9,1980,Unknown,2.0,B
31,No,Unknown,480.0,30.0,2,Unknown,1.0,524,2,Female,31.0,3,2,Manufacturing director,1,Married,4156.0,1,Unknown,No,12.0,3.0,2,1,13.0,5,1.0,13,3,12,1992,Yes,1.67,B
50,No,Travel_rarely,1099.0,27.0,4,Life sciences,1.0,569,2,Male,88.0,2,4,Manager,3,Married,9314.0,0,Yes,No,15.0,3.0,2,1,28.0,2,3.0,27,15,7,1973,Unknown,2.33,B
35,No,Unknown,672.0,25.0,3,Technical degree,1.0,899,4,Male,78.0,2,3,Manufacturing director,2,Married,9129.0,3,Yes,No,16.0,3.15,1,0,11.32,2,3.0,13,4,8,1988,No,2.33,B
47,No,Unknown,1379.0,16.0,4,Unknown,1.0,Unknown,3,Male,64.0,4,2,Manufacturing director,3,Unknown,6759.0,1,Unknown,Yes,19.0,3.0,3,0,20.0,3,2.76,19,2,7,1976,Yes,3.0,A
35,No,Unknown,583.0,25.0,4,Unknown,1.0,1014,3,Female,57.0,3,3,Healthcare representative,3,Divorced,6975.0,1,Unknown,Yes,11.0,3.15,3,1,11.32,3,2.0,16,10,1,1988,Yes,3.0,A
40,No,Travel_rarely,1492.0,20.0,4,Unknown,1.0,Unknown,1,Male,61.0,3,3,Healthcare representative,4,Married,26542.0,4,Yes,Unknown,20.0,4.0,4,1,14.0,6,3.0,11,11,1,1983,Yes,3.0,A
45,No,Unknown,1050.0,9.0,4,Life sciences,1.0,1117,2,Female,65.0,2,2,Sales executive,3,Married,17970.0,1,Yes,Unknown,13.0,3.0,4,1,15.0,2,3.0,15,4,12,1978,No,3.0,A
33,No,Unknown,117.0,9.0,3,Medical,1.0,1238,1,Male,60.0,3,1,Research scientist,4,Married,6311.0,0,Yes,Unknown,13.0,3.0,2,1,15.0,5,3.0,14,4,10,1990,No,2.33,B
36,No,Travel_frequently,469.0,3.0,3,Unknown,1.0,Unknown,3,Male,46.0,3,1,Research scientist,2,Married,9256.0,1,Yes,No,12.0,3.0,3,0,12.0,2,2.0,11,0,7,1987,No,2.67,B
45,Yes,Unknown,802.09,13.0,3,Marketing,1.0,1277,1,Female,94.0,1,5,Manager,2,Unknown,2493.0,2,Unknown,Yes,16.0,3.0,1,0,26.0,2,3.0,24,1,11,1978,Unknown,1.33,B
51,No,Travel_frequently,237.0,27.0,3,Unknown,1.0,Unknown,2,Male,83.0,3,5,Manager,2,Unknown,19196.0,4,Unknown,Yes,24.0,3.15,1,1,11.32,5,2.0,29,11,10,1972,No,1.67,B
34,No,Travel_rarely,1440.0,7.0,2,Technical degree,1.0,1541,2,Male,55.0,3,1,Sales representative,3,Unknown,4944.0,0,Unknown,Yes,25.0,4.0,2,1,12.0,4,3.0,11,5,7,1989,No,2.33,B
43,No,Travel_rarely,1291.0,15.0,2,Unknown,1.0,1666,3,Male,65.0,2,4,Research director,3,Unknown,3525.0,1,Unknown,No,24.0,4.0,1,1,11.32,3,3.0,14,6,11,1980,Yes,2.33,B
34,No,Unknown,1157.0,5.0,2,Medical,1.0,1696,2,Male,57.0,2,2,Laboratory technician,4,Unknown,11912.0,1,Yes,No,14.0,3.0,3,1,11.32,3,2.76,15,4,13,1989,No,3.0,A
38,No,Unknown,1336.0,2.0,3,Unknown,1.0,1805,1,Male,100.0,3,1,Human resources,2,Divorced,7129.0,5,Unknown,No,13.0,3.0,4,3,13.0,3,3.0,11,3,8,1985,Yes,2.33,B
48,No,Unknown,1224.0,10.0,3,Unknown,1.0,Unknown,4,Male,91.0,2,5,Research director,2,Unknown,13583.0,4,Yes,No,12.0,3.0,4,0,29.0,3,3.0,22,12,9,1975,No,3.33,A
34,No,Unknown,735.0,22.0,4,Other,1.0,1932,3,Male,86.0,2,2,Research scientist,4,Married,26496.0,1,Unknown,Yes,15.0,3.0,2,0,16.0,3,3.0,15,6,11,1989,No,3.0,A
32,No,Travel_rarely,802.09,31.0,4,Unknown,1.0,2016,3,Female,48.0,3,3,Sales executive,4,Unknown,24032.0,1,Yes,No,19.0,3.0,3,2,14.0,3,3.0,14,5,7,1991,Yes,3.33,A
29,No,Travel_rarely,1389.0,21.0,4,Life sciences,1.0,20,2,Female,51.0,4,3,Manufacturing director,1,Divorced,10195.0,1,Yes,No,11.0,3.0,3,1,10.0,1,3.0,10,8,8,1994,No,2.0,B
46,No,Unknown,638.0,1.0,3,Medical,1.0,Unknown,3,Male,40.0,2,3,Healthcare representative,1,Married,3142.0,2,Unknown,Yes,13.0,3.0,3,1,21.0,5,2.0,10,9,5,1977,No,2.33,B
30,No,Unknown,1240.0,9.0,3,Unknown,1.0,184,3,Male,48.0,3,2,Human resources,4,Married,13982.0,0,Unknown,Yes,19.0,3.0,4,0,11.32,2,1.0,11,4,7,1993,No,3.67,A
45,No,Unknown,194.0,9.0,3,Life sciences,1.0,206,2,Male,60.0,3,2,Laboratory technician,2,Unknown,10901.0,8,Yes,No,18.0,3.0,3,1,20.0,2,2.76,17,0,15,1978,Yes,2.33,B
30,No,Travel_rarely,1339.0,5.0,3,Unknown,1.0,228,2,Female,41.0,3,3,Sales executive,4,Unknown,8053.0,2,Yes,No,12.0,3.0,3,1,11.32,2,3.0,10,7,4,1993,Unknown,3.0,A
30,No,Unknown,111.0,9.0,3,Unknown,1.0,239,3,Male,66.0,3,2,Laboratory technician,1,Unknown,11012.0,1,Yes,No,11.0,3.15,3,2,12.0,4,3.0,12,6,10,1993,Yes,2.33,B
34,No,Travel_frequently,802.09,29.0,1,Unknown,1.0,256,4,Male,45.0,2,2,Manufacturing director,3,Married,14074.0,1,Unknown,Unknown,17.0,3.0,3,0,10.0,2,2.0,10,1,9,1989,No,3.33,A
51,No,Travel_rarely,1469.0,8.0,4,Life sciences,1.0,Unknown,2,Male,81.0,2,3,Research director,2,Married,15736.0,5,Unknown,No,16.0,3.0,4,2,16.0,5,1.0,10,4,7,1972,No,2.67,B
34,No,Unknown,470.0,39.0,4,Life sciences,1.0,339,3,Male,84.0,2,2,Manufacturing director,1,Unknown,23687.0,6,Unknown,Unknown,13.0,3.0,2,1,13.0,3,3.0,11,5,9,1989,Yes,2.0,B
35,No,Travel_rarely,1232.0,16.0,3,Unknown,1.0,406,3,Male,96.0,3,3,Sales executive,2,Married,5100.0,0,Yes,Unknown,15.0,3.0,3,2,12.0,3,2.0,11,6,9,1988,Yes,2.67,B
45,No,Travel_frequently,1249.0,7.0,3,Life sciences,1.0,Unknown,1,Male,97.0,3,3,Laboratory technician,1,Unknown,20308.0,1,Yes,Unknown,18.0,3.0,1,1,24.0,2,3.0,24,9,11,1978,Yes,1.0,B
